Latitude,Longitude,Elevation,Bearing,eggs,adults,mosq,code,BACT_OVI,BACT_OVI1,bact_ovi,bact_ovi1,bact_ad,bact_ad1
6.243698333,-75.55647833,1575.7,295277,0,0,0,01BA,0,0,NULL,NULL,NULL,NULL
6.241913333,-75.55695,1568.4,226201,1,1,1,O02BA,1,0,1,0,0.75,0.25
6.239476667,-75.55791,1590.6,269437,1,1,1,O03BA,1,0,1,0,1,0
6.238956667,-75.55661833,1612.3,64381,0,0,0,O04BA,0,0,NULL,NULL,NULL,NULL
6.235648333,-75.55735,1637.5,240805,0,0,0,O05BA,0,0,NULL,NULL,NULL,NULL
6.235905,-75.55843,1621.8,322118,0,0,0,O06BA,0,0,NULL,NULL,NULL,NULL
6.23545,-75.56289833,1564.8,2356,1,1,1,O07BA,1,0,1,0,1,0
6.237205,-75.56136333,1567.4,27614,1,0,1,O08BA,1,0,1,0,NULL,NULL
6.240823333,-75.55923167,1550,212672,0,0,0,O09BA,0,0,NULL,NULL,NULL,NULL
6.228581667,-75.530625,1793.5,190636,0,0,0,O10BA,0,0,NULL,NULL,NULL,NULL
6.228781667,-75.53288167,1763.2,154,1,1,1,O11BA,0,1,0,1,0,1
6.229721667,-75.53627667,1736.7,339264,0,1,1,O12BA,0,0,NULL,NULL,NULL,NULL
6.230855,-75.53749167,1727.2,14272,0,0,0,O13BA,0,0,NULL,NULL,NULL,NULL
6.231526667,-75.53937,1680.2,22803,0,0,0,O14BA,0,0,NULL,NULL,NULL,NULL
6.226611667,-75.54357167,1764.3,314767,0,1,1,O15BA,0,0,NULL,NULL,1,0
6.227181667,-75.54413333,1787.5,142461,1,1,1,O16BA,1,0,1,0,NULL,NULL
6.227828333,-75.540995,1748.8,253929,0,0,0,O17BA,0,0,NULL,NULL,NULL,NULL
6.235105,-75.54336833,1650.1,2641,0,0,0,O18BA,0,0,NULL,NULL,NULL,NULL
6.232461667,-75.54359833,1691.4,344944,0,0,0,O19BA,0,0,NULL,NULL,NULL,NULL
6.228905,-75.54373,1769.2,143717,0,0,0,O20BA,0,0,NULL,NULL,NULL,NULL
6.228951667,-75.54372833,1760.3,63867,1,1,1,O21BA,1,0,1,0,1,0
6.234828333,-75.54579333,1677.5,170247,0,0,0,O22BA,0,0,NULL,NULL,NULL,NULL
6.237125,-75.54599333,1638.3,325108,0,0,0,O23BA,0,0,NULL,NULL,NULL,NULL
6.23967,-75.54995167,1608.5,38894,0,0,0,O24BA,0,0,NULL,NULL,NULL,NULL
6.241156667,-75.55007167,1612.3,26312,0,0,0,O25BA,0,0,NULL,NULL,NULL,NULL
6.24231,-75.55409833,1579,42815,1,1,1,O26BA,1,0,1,0,1,0
6.239786667,-75.5523,1589.2,12409,0,0,0,O27BA,0,0,NULL,NULL,NULL,NULL
6.234803333,-75.54874,1684.7,29932,1,0,1,O28BA,0,0,NULL,NULL,NULL,NULL
6.233546667,-75.54968,1705.1,343415,0,0,0,O29BA,0,0,NULL,NULL,NULL,NULL
6.227486667,-75.54827667,1799.3,87487,1,0,1,O30BA,1,0,1,0,NULL,NULL
6.22935,-75.55232,1804.4,239609,0,0,0,O31BA,0,0,NULL,NULL,NULL,NULL
6.235026667,-75.55323667,1659.9,96246,0,0,0,O32BA,0,0,NULL,NULL,NULL,NULL
6.232743333,-75.55369333,1700.1,342986,0,0,0,033BA,0,0,NULL,NULL,NULL,NULL
6.23214,-75.55903833,1702.3,10492,0,0,0,O35BA,0,0,NULL,NULL,NULL,NULL
6.23247,-75.56091167,1663.4,40033,0,0,0,O36BA,0,0,NULL,NULL,NULL,NULL
6.229836667,-75.56096833,1646.8,55069,0,0,0,O37BA,0,0,NULL,NULL,NULL,NULL
